NOME;DATE;PROVENIENZA;ATTIVITA';ANNI DI CONTATTO CON TARTINI;CONTATTI CON TERZI;TESTIMONIANZA DI TARTINI;TESTIMONIANZA DELL'ALLIEVO SU TARTINI;TESTIMONIANZE DI TERZI;ANCHE COMPOSITORE;EPISTOLARIO TARTINI;EITNER;RIEMANN;MGG;NGD;GMO;FETIS;DIC;DUM;DEUMM;DBI;FONTI;NOTE;SONATE A 3;SONATE A 4;ALTRE COMPOSIZIONI;SCRITTI;RISM;MGG2
DALL'OGLIO [DALLOGLIO] DOMENICO;1700ca.-1764;Padova (Italy);"Pietroburgo; Berlino; Varsavia";prima di partire per la Russia (attorno al 1721 oppure attorno al 1727-1728 , cfr. GMO, o 1732);"Pietro III (Russia); P. Mira";;;"""He may have become a pupil of Tartini around 1721, when Tartini became primo violino e capo di concerto at the Basilica di S Antonio in Padua, or perhaps after the founding of Tartini's ‘school’ of violin instruction, 1727–8"", GMO";X;;EIT;;MGG;;GMO;;;DUM;DEU;DBI;"R.A. Mooser, Operas, Intermezzos, Ballets, Cantates, Oratorios jouds en Russie durant le XVIII siècle, Genève 1945, p. 111; Treccani.it; DOUNIAS, 1935; CAPRI, 1945, p. 384";;;"Sonata à 4 G-Dur für Str., S-Uu
Sei sinfonie a due violini, alto viola e basso […] opera prima (vor 1753), 
P. 1753";"La Russia afflitta e riconciliata, Prolog für La Clemenza di Tito von Joh. A.?Hasse (1742)
La Joie des nations à l’apparition d’Astrée à l’horizon russe, et le retour de l’âge d’or und La Pomme d’or au banquet des dieux, et le jugement de Paris, 2 Ballette für dies. Oper (1742), verschollen?
E soffrirò che sia barbara mercede, Rez. für S und Str. (ca. 1758), D-SWl
Combattuto da più venti qual naviglio, Arie für S und Str., D-SWl (Zugehörigkeit unbekannt)

XII sonate a violino e violoncello o cimbalo […] opera prima, Adm. 1738; Nachdr. P. 1751
2 Sonaten für Fl. und B.c., in: 6 Sonate a flauto traverso solo e Violoncello o Basso Continuo d’Alcuni Famosi Maestri come di Jean Fredrik Groneman, Domenico Dall’Oglio, Giuseppe San Martini, L. [um 1762]
XII sonates für V. und B.c., Vdg. 1778
17 Konz. für V., US-BEm
Sonate B-Dur für Va. und B.c., D-B
10 Sonaten für V., US-BEm
2 Symph. (Sinfonie à 6) für 2 Hr., 2 V., Va. und B.c., S-Skma";;;MGG
DUPREILLE [DUBREIL], Charles Albert ;1728-1796;[France];Monaco;;Wolfgang Amadeus Mozart;;;;;;EIT;;;;;;;;;;"DOUNIAS, 1935; CAPRI, 1945, p. 385; Mozart, Wolfgang A., Sadie S., Smart F., The Letters of Mozart and his Family, London, Springer, 2016  p.300; Seletsky, Robert E. “New Light on the Old Bow: 2.” Early Music, vol. 32, no. 3, 2004, p. 418 ";;;;;;;
EISELT, Johann Heinrich;;Germany;Dresda;1756-1758 (max fino al 1768);;;;"""Herr Johann Heinrich Eiselt hat drey Jahr beym Tartini studiert, und fängt an, sich durch Compositionen [sic] bekannt zu machen"", Wöchentliche Nachrichten und Anmerkungen, die Musik betreffend, vol. 1, p. 27";X;;EIT;;;;;;;;;;"DOUNIAS, 1935; CAPRI, 1945, p. 385; PETROBELLI, 1992, p. 87,";;;;Sinfonia a 6 Voci (1760);;RISM;
FAJER [FEJER], Francesco;[1731-1809];[Saragosse] (Spain);Rovereto;;;;;"FERRARI 1830: ""I cantanti eran per la più parte preti, che strillavan come frati. Primo violino: G. Untersteiner, legale e scolare ultimo di Tartini, che ci seccava alla morte, coi concerti e colle sonate insipide di quel gran teorico e sonatore. Primo dei secondi: F. Feyer, exprete, fabbricante di corde armoiche, che rastiava come un pettine per farsi sentire""";;;;;;;;;;;;;"Studi Trentini, vol. 5, p. 320; M. LEVRI, La cappella musicale di Rovereto, p. 125; LUNELLI, 1967";GARCÍA FAJER, Francisco Javier ? Se sì è segnalato in Dictionnaire de la musique. Altrimenti è Francesco Feyer fabbricatore di corde armoniche;;;"Il Tobia (Giovanni Battista Visconti [Aberilmo Eginense]), componimento sacro (1752 Rom), A-Wgm
La Susanna (Visconti [Aberilmo Eginense]), componimento sacro (1754 Rom)
Plausible triunfo del valeroso infante Santo Dominguito de Val (1763 Zaragoza)
Zaragoza laureada (1766 ebd.)
El valor acrisolado en la fragua del Amor (1780 ebd.)
weitere spanische Oratorien sind für 1757, 1761, 1768, 1786 und 1787 nachgewiesen
zahlreiche Messen, Responsorien, Psalmen und weitere geistliche Kompositionen in lateinischer und spanischer Sprache, überliefert v.?a. in E-BUa, E, GRc, H, J, SA, SCc, V, VAc, Zac und ME-Mc (ausführlicheres Verz. in J.?J.?Carreras 1999)

zahlreiche Messen, Responsorien, Psalmen und weitere geistliche Kompositionen in lateinischer und spanischer Sprache, überliefert v.?a. in E-BUa, E, GRc, H, J, SA, SCc, V, VAc, Zac und ME-Mc (ausführlicheres Verz. in J.?J.?Carreras 1999)

Pompeo Magno in Armenia (Anastasio Guidi), dpm 3 Akte (1755 Rom), P-La
Or che spira su la prora
Ah non perdono oh Dio
La Pace
La finta schiava, intermezzi (1754 Rom), 2 Arien in GB-Lbl
La pupilla (Angelo Lungi), farsetta in musica (1755 Rom)
Lo scultore deluso, intermezzi (1756 Rom)
Overture vl 1, vl2, vla, b, ob (2), cor (2)";;RISM;MGG
FEGERI, Guglielmo;;Batavia (Giava);;1744-1745;;"dalla dedica dell'edizione delle Sonate a violino e basso opera seconda del 1745: ""…con inusitato esempio vi siete partito così giovane dall'Indie Orientali, e lasciata Giava vostra carissima Patria, non d'altro mosso, che dal desiderio nobilissimo di arricchirvi la mente delle Scienze e delle Arti megliori: e giunto nella nostra Europa non avete in questo mezzo lasciato in dietro nessuna diligenza [...]. Ora, a dire il vero, molti di molte Nazioni d'Europa, per la opinione buona, che di me portano, sono venuti in Padova per essere istruiti nella detta bell'Arte: ma troppo singolar cosa mi pare, che ci siate venuto Voi [...]""";;;;;;;;;;;;;;;"DOUNIAS, 1935; CAPRI, 1945, p. 385; https://www.aadfi.it/accademico/fegeri-guglielmo/";;;;;;;
FERRANDINI, Giovanni Battista;"1710 [1707; 1715]-1791";Venice (Italy);Monaco;dal 1755?;"Allievo di A. Biffi. Si perfezionò con P. Torri e G.A. Bernabei; venne in contatto con Naumann e Mozart. Allievi: Anton Raaf, M.A. Walpugis";"T. a Naumann: ""e con ciò si assicura al serviggio l’acquisto di questa giovine, di ottimi, e santi costumi, e di quella tal singolarità nel violino, di cui per quanto ella, ed il signor Ferrandini possano assicurar sua altezza reale elettrice; ambedue che l’hanno sentita, sanno che sua altezza troverà sempre di più, poicché tra quanti scolari di grido ho avuti, tanto ella, che il signor Ferrandini sanno di poter assicurare la sovrana padrona, che per musica esercitata sul violino che vada al cuore, assolutamente nel tempo presente non vi è l’eguale. Quando dunque sua altezza reale elettrice benignamente assente al qui proposto partito, sarà bene, che il diploma per lo Scoti sia fatto sollecitamente, e sia addrizzato o al signor Ferrandini, o a me, giacché ella non sarà più in Venezia, e lo spedirglielo fin a Napoli è perder troppo tempo."" / Ferrandini a Martini: ""[di mano di Ferrandini] Il Ferrandini si umilia divotamente a vostra riverenza e si consola seco lei dell’ottimo incontro, che ha fatto in Padova il signor maestro Sales, suo degno discepolo con applauso universale, e nuovamente la riverisco con ogni rispetto.""";;;X;p. 310, 316;EIT;;MGG;NGD;GMO;;DIC;DUM;DEU;DBI;;;;;"Il Pianto di Maria (Giunta è l’ora fatal), Passionskant. für S, 4 V., Va. und B.c. (ca. 1739, früher Händel zugeschrieben HWV 234), D-B, D-MÜs, GB-Lbl, I-Bc, I-Gl, I-Pac, I-Rsc, I-Sac, I-Sd
»Ecco quel tronco«, Passionskant. für S und Instr., D-B, I-Bc
Cantata sacra (»O spetaculo purtroppo funesto«), Passionskant. für S, 2 Va. da gamba, Laute und B.c., D-Dl
Oratorio sacro, A-Wgm

36 Cantate für 1 St. (S, A oder B) und B.c. (3. Juli 1739 Wien, gewidmet Kaiser Karl VI., Cantata II fehlt), A-Wn
39 Cantate für 1 St. und Instr., D-Dl
42 Canzonette und 60 Arien für 1 St. und Instr., D-Dl
diverse Arien in CH-N, D-B, D-Dl, D-Mbs, I-Bc

Gordio (Perozzo da Perozzi), dpm (22. Okt. 1727 München)
Il sacrificio invalido (Perozzo da Perozzi), dpm (10. Juli 1729 Nymphenburg)
Colloquio pastorale (Perozzo da Perozzi), Serenata (6. Aug. 1729 ebd.), D-Dl
Berenice (Leolpoldo de Villati), dpm (5. Febr. 1730 München), I-MOe
Scipione nelle Spagne (Apostolo Zeno), dpm (Karneval 1732 München), A-Wgm
Ipermestra (Antonio Salvi), dpm (22. Okt. 1736 München)
Adriano in Siria (Pietro Metastasio), dpm (Karneval 1737 München), D-Dl
Demofoonte (ders.), dpm (22. Okt. 1737 München)
Artaserse (ders.), dpm (22. Okt. 1739 München), D-Dl
Componimento dramatico per l’incoronazione di Carlo VII (12. Feb. 1742 Frankfurt)
Le grazie vendicate (Metastasio), Serenata (1753 München), D-Dl
Catone in Utica (ders.), dpm (12. Okt. 1753 München), D-Dl, D-Hs, D-LEm
Diana placata (ders.), Serenata (17. Aug. 1755 München)
Demetrio (ders.), dpm (1758, nicht aufgef.?)
Talestri (Maria Antonia Walpurgis), opera drammatica (1760? München), A-Wgm, D-Dl, D-Mbs
L’amor prigioniero, componimento drammatico (1781? München), D-Dl

2 Divertimenti da camera für 2 V., Violetta und B.c., D-B, D-Mbs (ein Divertimento)
5 Konz. e, Es, F, G, G für Fl., Str. und B.c., S-Skma
Musicale tratenimento für V., 2 Lauten, Va. da gamba und B.c., D-Dl
2 Qu. F, g für 2 V., Va. und B.c., CH-Bu
5 Sinf. F, C, D, D, E für 2 Hr. (2 Oboi di Silva in Nr.?2 und 4), Str. und B.c. (Nr.?5 nur Str.), D-Ds
Sinfonia pastorale G-Dur für 2 Fl., STr. und B.c., A-Wgm
Sinf. F-Dur, N-T
6 Son. für Fl. und B.c. op.?1, Adm. 1737 (einziges Exemplar in B-Lc)
6 Son. für Fl. und B.c. op.?2, P. o.?J. (einziges Exemplar in F-AG)
2 Son. h, g für Fl. und B.c., S-Skma";;;MGG
FERRARI, Domenico;1722-1780;Piacenza (Italy);"Cremona; Vienna; Stuttgart; Parigi";pre 1750 (Eitner);;;; ;X;;EIT;RIE;MGG;;GMO;;;DUM;;DBI;"DOUNIAS, 1935; CAPRI, 1945, p. 385";;6 Triosonaten für 2 V./Fl. und B., L. ca. 1758–1765;;"Six Romances avec accompagnement de forte-piano, P. o.?J.
Six Nouvelles Romances avec accompagnement de forte-piano, P. o.?J.
36 Sonaten für V. und B. op.?1 (1750), 2, 3, 4, 5, 6, P. 1758–1762
6 Sonaten oder Duette für 2 V. op.?2, L. ca. 1765 (Nr.?1 und 2 von Nardini)
Concerto für V. und Str., A-Wgm
6 Sonate für V. und Cemb./Vc. op.?2, Adm. ca. 1766–1774 (Zuschreibung unsicher)
Sonata für Fl. und B., Fragment, D-KA";;;MGG
figlio 1 di gentildonna veneziana stabilitasi a Padova;;(Italy);;;;;;;;;;;;;;;;;;;Giorgio BENEDETTI, Giuseppe Tartini, in Archeografo triestino, vol. XXI, 1896-97, pp. 57-58;;;;;;;
figlio 2 di gentildonna veneziana stabilitasi a Padova;;(Italy);;;;;;;;;;;;;;;;;;;Giorgio BENEDETTI, Giuseppe Tartini, in Archeografo triestino, vol. XXI, 1896-97, pp. 57-58;;;;;;;
FISCHER;;Germany;;;;;;;;;;;;;;;;;;;"POUGIN, 1924; DOUNIAS, 1935; CAPRI, 1945, p. 385; ";;;;;;;
FRACASSINI, Luigi [Aloisio Ludovico];1733-1798;Orvieto (Italy);"Würzburg; Bamberg";;"Sostenuto dal cardinale Lante a Roma; allievo di composizione di Ferrandini";;;;X;;;;MGG;;;;;;;;"DOUNIAS, 1935; CAPRI, 1945, p. 385; [PETROBELLI, 1992, p. 91]; ";Tartini lo raccomanda alla corte di Würzburg;;;"Vesperlieder auf Sonntage von Franz Berg, Wzbg. 1779
Lieder zum kath. Gottesdienste: ein Versuch von Franz Berg, Fulda 1781
»Sonate montes, saltate fontes«, Mot. D-Dur für B und Instrumente, D-TEGha [= Tegernsee Hzgl. Archiv]
»Non so frenare il pianto« und »Non vedrete mai«, Arien für S (im Inventar von 1762 genannt), verschollen
Serenata a 5 (in Umstatts Inventar von 1762 genannt), verschollen
Il natal di Giove (Pietro Metastasio), azione teatrale, 1945 zerstört (vgl. O.?Kaul 1924)
3 Quartette für 2 V., Va. und Vc., D-HR
5 Sinfonien (in Umstatts Inventar von 1762 genannt), verschollen
7 Sonaten für V. und B.c, US-BEm";;;MGG
FREDDI;;Italy ;;;;;;;;;;;;;;;;;;;CAPRI, 1945, p. 385;;;;;;;
GAVINIÈS, Pierre;1728-1800;Bordeaux (France);;;;;;Viotti nannte ihn später: il Tartini francese, cfr. Allgemeine Musikalische Zeitung;;;;;;;;;;;;;;;;;;;;
GIORGI, Filippo;;Italy;;;;"T. a Martini: ""Al mio carissimo e degnissimo signor Filippo Giorgi i miei cordialissimi rispetti, e a vostra riverenza umiliandoglieli di vero cuore mi rassegno sempre più""";;;;p. 299;;;;;;;;;;;"POUGIN, Le violon, p. 104; DOUNIAS, 1935; CAPRI, 1945, p. 385";E' da identificare con il tenore Filippo Giorgi?;;;;;;
Girolamo (cognome sconosciuto);;(Italy);;1746-1748;;"T. a Vannetti: ""Illustrissimo signore signore e padrone colendissimo, la compitissima di vostra signoria illustrissima mi ha trovato in Venezia, non in Padova, e però non le ho risposto a tempo. Appena ritornato, ho veduto comparirmi qui personalmente il signor Girolamo da vostra signoria illustrissima raccomandatomi per scolare, quando io pensavo di risponderle e suplicarla a soprasedere per qualche mese, sinoché qualcheduno de’ scolari vecchi dasse luoco. Sono due anni, da che per li miei anni e fatiche ho dovuto tagliare per metà il numero de’ scolari, cosiché occupando tre soli giorni per settimana nel dar lettione, mi restassero gli altri tre disoccupati e liberi da ogni fatica. Ma in quest’anno (appunto per quest’ultimo sopravvenuto) dovrò per forza occuparmi ogni giorno. Me ne dispiace, e mi è danno; ma danno, e disppiacere sacrifico a vostra signoria illustrissima, a cui sono troppo debitore; e per verità (non per farmi merito seco lei) se qualunque altro me lo avesse comandato, non l’avrei fatto certamente. Le serva il caso presente per vera prova della mia gratitudine, debito, e rispetto verso
vostra signoria illustrissima [...]"" / T. a Vannetti: ""non manco di far il mio dovere con vostra signoria illustrissima nel ritorno del signor Girolamo, che ho avuto l’onore di servire, e che per sua parte ha corrisposto alla premura con cui l’ho servito. Egli è ben fatto di cuore e di testa, e quando egli possa continuar la scuola per qualche tempo ancora, si ha sicurezza della di lui ottima riuscita."" / T. a Vannetti: ""Torna costì il signor Girolamo: giovane che oltre gli ottimi costumi, ha non ordinaria abilità per il violino. Egli ha fatto il debito suo, come io ho procurato di far il mio. Ma è venuto alla mia scuola troppo defficiente, perché in sì poco tempo si possa perfettionare. Questo è certo, che in pochi mesi ha guadagnato molto, ma si toglie dalla mia scuola nel tempo appunto del suo vero profitto. Io di ciò non ne ho colpa, ma mi dispiace e per lui e per me. Il mio desiderio è di aver scolari perfettionati, com’è, e sarà sempre che vostra signoria illustrissima si assicuri ch’io sono quale con tutto l’ossequio mio rispettosissimo mi rassegno""";;;;p. 172, 176, 178;;;;;;;;;;;"DOUNIAS, 1935; CAPRI, 1945, p. 386";Da identificare con Girolamo Untersteiner?;;;;;;
GLONER, Peter;;München (Germany);;1750-1759;;;;;;;;;;;;;;;;;;"""Peter Gloners Studium bei Tartini finanziert sein Vater, ein Klavierbauer, NOESSELT,  Ein ältesr Orchester, p. 91 e 222"", cfr. Juliane Riepe in Europäische Musiker in Venedig, Rom und Neapel 1650-1750";;;;;;
GIUSTINIANI, Girolamo Ascanio;1697-1749;Italy;;1720 o 1721 (oppure 1718);;;;;;p. 124, 164;;;;;;;;;;;"DOUNIAS, 1935; CAPRI, p. 41, 387; BRAINARD, 1975: pp. 35-36; ";Tartini gli dedicò le sonate dell'op. 1 a violino e basso;;;;;;
GOBBI, Ignazio;1740 (1742?)-1835;Gorizia (Italy);Gorizia;;;;;;X;;;;;;;;;;;;Dizionario Biografico dei Friulani;;;;;;;
GRAUN, Johann Gottlieb;"1702(1703; 1698 per Eitner)-1771";Wahrenbrück (Germany);"Dresda; Lipsia; Praga; Merseburg; Arolsen; Rheinsberg; Berlino";"Prende lezioni nel 1723 a Praga da Tartini;"; ;"T. ad Algarotti: ""Riflettendo io qualche volta al caso occorso delle mie composizioni sentite da sua maestà, ma non eseguite da miei scolari; e considerando nello stesso tempo la disdetta di non essermi sinora riuscito di aver in cotesta corte un mio scolare, quando ne ho di famosi in molte corti di Europa (non ponendo io in conto il signor Graun, che fu mio scolare per poco tempo, e in mia gioventù),"" T. a ""Ho poi riscontro che costì è capitato il signor Giovanni Gottlieb, e che si trova alla scuola di contrapunto da vostra riverenza. Io glielo raccomando efficacemente, benché so che per vostra riverenza non vi è questo bisogno. Ma benché di altra legge, e religione, io lo amo cordialmente per le di lui ottime qualità, e per esso ho quella premura che avrei per un mio figlio. Ha talento, e son persuaso che possa riuscire distintamente, e far onore particolarmente a vostra riverenza."".";;il virtuosismo della scrittura rivela l'influsso di Tartini (DEUMM);;p. 183;EIT;;;;GMO;;;;DEU;;"TAMARO-WIESELBERGER, 1896, p. 83; Christoph Henzel, “Graun, Johann Gottlieb”, in Ng. ; Brainard, 1975: pp. 35-36; CAPRI, 1945, p. 387";;;;"Kyrie und Gloria Es-Dur für S, A, gemCh., 2 Fl., 3 Ob., Fg., 2 Hr., Str. und B.c. (GSV 64)
La passione di Gesù Cristo (Pietro Metastasio), Passionsor. für S, S, S, A, gemCh., 2 Fl., 2 Ob., 2 Fg., 2 Hr., Str. und B.c. (GSV 61)
»Herr, leite mich in deiner Wahrheit«, Kant. für S, A, gemCh., 2 Ob., 2 Hr., Str. und B.c. (1763?) (GSV 15)
»Wenn ich dich anrufe, so erhöre mich«, Kant. für S, T, B, gemCh., 2 Ob., Str. und B.c. (GSV deest)

»Destatevi o pastori« für S, Str. und B.c.
»Ecco a voi cari sassi« für dass.
»Già la sera si avicina« (La pesca) (Metastasio) für dass.
»Misera abbandonata« (Circe) für dass.
»No, perdonami, o Clori« (La scusa) (Metastasio) für dass.
»O dio Fileno« (La primavera) (Metastasio) für S, Va. da gamba, Str. und B.c.
»Sorgi lucente Aurora« für T, Str. und B.c.
»Tirsi, povero Tirsi« für S, Str. und B.c., D-B*
»Heute bin ich selber mein« (Garten-Kant.) für T, 2 Ob., Str. und B.c.

»Crispin geht stets berauscht zu Bette« (Der ordentliche Hausstand) (Friedrich Hagedorn), in: Berlinische Oden und Lieder, 2. Tl., Lpz. 1759
»Ente, wahres Bild von mir« (Die Ente), in: Musikalisches Allerley von verschiedenen Tonkünstlern, Bln. 1761
»Kein tödliches Sorgen« (Einladung zum Tanz) (Johann Wilhelm Ludwig Gleim), in: Fr. Wilh. Marpurg, Krit. Briefe über die Tonkunst, Tl. 1, Bln. 1759
»Wenn ich König wäre« (Das Kriegsheer) (Bayer), in: Berlinische Oden und Lieder, 2. Tl., Lpz. 1759

13 Ouvertüren
54 Sinfonien
48 Konzerte für Violine
2 Konzerte für Viola da gamba
5 Konzerte für zwei Violinen
2 Konzerte für Violine und Viola
5 Sonaten für Flöte
42 Sonaten für Violine
3 Konzerte für Viola da gamba und Cembalo
Konzert für Oboe
2 Konzerte für Fagott
2 Quartette



";;;MGG
GREINER, Johann Martial;1724-1792;Konstanz (Germany);"Innsbruck; Padova; Venezia; Monaco; Stuttgart; Kirchberg";;Prese lezioni da Angelo Colonna;;;;;;EIT;;;;;;;;;;"Musikalisches Conversations-Lexikon; CAPRI, 1945, p. 385";;;;;;;
GREINER, Marc;;;;;;;;;;;;;;;;;;;;;"DOUNIAS, 1935; CAPRI, 1945, p. 387";;;;;;;
GUASTAROBBA, Pietro Paolo;;[Bologna?], Italy;;1740;"Diede lezioni a Bartolomeo Campagnoli; padre Martini; raccomandato dal conte Cornelio Pepoli";"T. a Martini: ""questa mattina è arrivato il signor don Antonio con il signor Paolino sani e salvi per la Dio grazia. Dal suddetto ho ricevuto la compitissima di vostra riverenza, a cui in ordine alle premure, e raccomandazioni per il signor Paolino non le rispondo cos’alcuna perché già vostra riverenza sa molto bene (e me lo accenna) ch’è superfluo."" / T. a Martini: ""Si degnerà scrivermi, se si contenta che io sborsi il denaro speso nelle mani del nostro signor Paolino che fa il debito suo, ma con molta fatica e pazienza in que’ principj; e più si degni di scrivermi da chi ha ricevuto le suddette partiture e se erano sciolte come le ho trovate io nella cappelliera."" / T. a Martini: ""Sono in necessità di avvisar vostra riverenza di un principio di disordine
che succede nella direzione del signor Paolino. Questo è la mancanza di denaro per la sua dozzina che qui e da per tutto deve pagarsi anticipata. Non parlo di ciò checappartiene per la scuola, ma parlo per ciò che appartiene al suo vitto. Ho fatta la prova in altri scolari, e la mancanza del denaro le dico sicuramente ch’è un impedimento principale allo studio. È necessario di necessità assoluta che di mese in mese li venga anticipata la rimessa di ciò che gli bisogna altrimenti gli anderà tutto male. E ciò tanto è vero quanto che il giovane già comincia ad inquietarsi. Io avvertisco vostra riverenza confidentemente acciò con la sua prudenza ponga sollecito rimedio, e tale che vi si abbia da pensar mai più""./ T. a Martini: ""Molto reverendo padre padrone colendissimo, se ne viene costì il nostro signor Paolino per rimediare, credo io, a quel disordine con la viva voce, a cui non ha potuto rimediar per lettera. La verità si è, che quando non vi sia posto rimedio è infallibile che lo studio patisce, e a quest’ora il giovane sarebbe a molto miglior termine di quello [che] è, perché il vero studio è inimico di ogni fastidio, e sollecitudine. Il giovane è sensitivo molto, e già ho fatto sin ora molte volte la prova che quando egli è sprovveduto di denaro, e perciò obbligato a cercarne in prestito, per tutto quel tempo o non si studia o si studia senza profitto. Faccia dunque vostra riverenza il conto, quante volte ciò gli sia succeduto, e da ciò il danno che è venuto, e che verrà sempre se non vi si rimedia. Sappia che questo è il terzo caso succedutomi, per cui ho evidentemente provato, che in certi temperamenti la mancanza del denaro a tempo debito è male mortale. Io son in obligo di dirle la verità, onde le serva di regola, per aiutar come si deve il giovane, acciò ottenga il suo intento. E dippiù perché non venga mai creduto che io procuri più il danaro per me che per il giovane, le dico, che la premura consiste non nel denaro del mio onorario, ma in quello della sua dozzina e per questo solamente io le scrivo, nulla importandomi del mio. Un’altra cosa di molta importanza devo dirle. Ho veduto con li miei occhi una lettera del signor Girolamo Laurenti scritta a Padova al signor Giuseppe Passarini, in cui il medemo dice che si aspetta costì in Bologna nella persona del signor Paolino un oracolo, un prodiggio, etc. Vostra riverenza intenderà facilmente questa maniera di scrivere, onde la prego per quanto gli preme il giovane e la comune reputazione, di non farlo sentire a suonare a chi si sia, niuno eccettuato, fuorché sua eccellenza padrone, e vostra riverenza. Faccia in ciò a mio modo, perché so che così va fatto, né ora è il tempo di farlo sentire. Verrà tempo se a Dio piace, e per il Santo dell’anno venturo spero che il giovane sarà a segno, purché sia posto sicuro rimedio intorno a quel male che intorbida lo studio, e fa perder la metà del tempo. Vostra riverenza dunque s’interessi in ciò da dovere, e faccia che il giovane non parta da Bologna, se sicuramente non è rimediato a questo male [...]"" / T. a Martini: ""Il signor Paolino mi ha letto una lettera a lui scritta da cotesto signor Mantovani, in cui gli si dice non aver altr’ordine del di lui eccellentissimo padrone di pagargli mesata, se non per tutto luglio. Vostra riverenza mi aveva scritto, che sua eccellenza benignamente assentiva a lasciarmelo qui per tutto agosto. Sicché per mia regola e quiete, e per il bene del giovane vostra riverenza si degni precisamente sapere la intenzione ultima, e risoluta di sua eccellenza e di parteciparmela con tal sicurezza, che io non abbia più a dubitare o da una parte o dall’altra. Ciò è affatto necessario, onde la prego efficacemente di questa grazia con tutta sollecitudine perché in caso di mancanza di tempo, e di un mese di meno, o raddoppiarò le lezioni, o se non avrò tempo, terrò addietro un altro scolare."" / T. a Martini: ""Io mi affatico attorno al signor Paolino, ma in verità che il tempo mi manca, e quel ch’è peggio, la salute stessa: cosa per me solita nell’estate, e nel caldo. Tuttavolta farò il mio debito più e meglio che potrò e saprò, facendo conto ch’egli compisca poi ogni studio da per sé, mentre spero che partirà di qui capace."" / T. a Martini: ""Starò in appresso attendendo per di lei mezzo li comandi di sua eccellenza il signor conte Cornelio circa il giorno della partenza per costì del nostro signor Paolino, supponendo io per altro, che gli si lasciarà compir interamente il mese.""";;"Guastarobba scrive da Padova e chiama Tartini “gran Maestro”; il giovane chiede a Martini di inoltrare al suo protettore una richiesta di soldi per l’acquisto di un nuovo violino. (Malagò)";;p. 137?138, 147, 152?154;;;;;;;;;;;"voce “Campagnoli, Bartolomeo” (C. White, in Ng); La Cappella musicale di S. Petronio: maestri, organisti, cantori e strumentisti dal 1436 al 1920, p. 183; DOUNIAS, 1935; CAPRI, 1945, p. 387";"Secondo Stoeving è ""Don"" Paolo Guastarobba";;;;;;
HELLENDAAL [HELENDALE, HELLENDAEL], Pieter [Pietro, Petrus, Peter];1721-1791 (1799 MGG);Rotterdam (Holland);"Utrecht; Amsterdam; Leida; Londra; Cambridge";"1736; 1738-1740; Strohm dice negli anni '40";Mandato a studiare con Tartini dal mecenate Mattheus Lestevenon. Fu insegnante di Hague;;;Technisch viel anspruchvoller sind die Violinsonaten, die meist der tyipischen Satzfolge von Hellendaals Lehrer Tartini folgen (langsam-schnell-schnell) MGG;X;;EIT;;MGG;;GMO;FET;DIC;;;;Thematic Catalog, Berkeley Music Library, 1963, p. 119;;;;"[6] Sonate [B, G, g, D, A, C] für V. und B.c. op.?1, Adm. (um 1744), Selbstverlag
VI Sonate für V. und B.c. op.?2, ebd. (um 1750)
Six Grand Concerto’s [g, d, F, E, D, F] for Violins, etc., in eight parts op.?3, L. 1758, Walsh »for the Author« (auch andere Ausg. bei Johnson)
Six Solos [C, G, d, D, B, A] for the Violin with a Thorough Bass for Harpsichord op.?4, L. (um 1760), Johnson
Eight Solos for the Vc. with a Thorough Bass op.?5, Cambridge (1780), Selbstverlag
Three Grand Lessons for the Harpsichord or Piano forte., with an Accompaniment for a Violin and Violincello [sic] op.?6, L. (um 1790), Goulding
Gloria Patri, in: T.?Warren, Collection of Catches I, L. um 1763, Wekker
»Love inform thy faithful creature«, in: T.?Warren, A Collection of Vocal Harmony, ebd. um 1775
Strephon & Myrtilla, Kant. für 1 St., V./Fl. und B.c., Cambridge (um 1785), Selbstverlag
Hellendaal’s Celebrated Rondo for the Organ, Harpsichord or Piano forte, ebd. (um 1790), Barford
Tweedledum and Tweedledee, a Cheerful Glee for four Voices für 4 v. und B.c., ebd. (um 1790), Selbstverlag
A Collection of Psalms and Hymns for the Use of Parish Churches […], the Music compos’d and harmonis’d by Peter Hellendaal senr., selected and arrang’d by Peter Hellendaal junr. für 3–4 v. und B.c., ebd. (um 1790)
Two Glees for four Voices with Accompaniments in Score, ebd. (um 1791)

11 Violinson, GB-Cfm
»Gloria Patri«, GB-Ckc
»Love inform thy faithful creature«, GB-Lbl
The Cock Match, Catch 4 St., US-Bp";;;MGG
